,Sub,Version,Type,ID,RT1,RT2,RT3,RT4,RT5,RT6,Ans,AnsSpeed
936,5,B,3,33,1.033799536,0.700557911,0.667159421,0.517214565,0.583728129,0.884018098,1,1.134071978
937,5,B,1,25,0.583858785,0.550527793,0.633737247,0.667288893,0.550504899,2.850475531,1,1.167114817
938,5,B,3,65,0.56677527,0.583829969,0.683768865,0.650482873,0.516774441,0.533496383,1,0.950515872
939,5,B,3,63,0.600500596,0.517131672,0.700546859,0.600459939,0.483774233,0.450413637,1,2.467452548
940,5,B,3,14,0.650511294,0.600496649,0.533858745,0.48383818,0.583956283,0.716731179,1,1.334055952
941,5,B,1,17,0.583826811,0.617383194,0.650447742,0.734196792,1.267211604,0.617421482,1,1.150624581
942,5,B,3,35,0.567271445,0.567254472,0.600534938,0.633745537,0.666865347,0.633803562,1,0.933503015
943,5,B,2,34,0.550698317,0.550443321,0.717195381,0.683810312,2.150781289,1.133992243,1,0.967091764
944,5,B,2,54,0.700475018,0.583690235,0.600515991,0.650496689,1.13384343,1.067128159,1,1.333988848
945,5,B,1,33,0.717214723,0.600453229,0.783607894,0.867111817,1.233824562,1.017190486,1,1.283726708
946,5,B,3,15,0.467373996,0.500410124,0.467114264,0.43383893,0.500620515,0.633863166,1,1.750737158
947,5,B,2,48,0.533867824,0.633522909,0.633833956,0.71717446,0.700654225,0.683900705,1,1.267187526
948,5,B,1,30,0.817463087,0.717195381,0.683693077,1.95065087,0.882564702,1.934126293,1,2.650552346
949,5,B,3,40,0.650482084,0.533422963,0.633937375,0.517220091,0.517133645,0.567083949,1,1.250619923
950,5,B,3,55,0.583820496,0.600552701,0.667145606,0.716774994,0.60046665,0.883748497,1,1.233697853
951,5,B,3,20,0.817145724,0.717118803,0.600439019,0.600664804,0.800595884,0.700470676,1,1.500481965
952,5,B,3,16,0.533979532,0.533804272,1.200446597,0.683871495,0.53376401,0.567342102,1,1.133541856
953,5,B,3,39,0.717104593,0.700529096,0.583850495,0.600470202,0.650500636,0.633764484,1,1.183752286
954,5,B,2,57,0.517101277,0.549998855,0.650360507,0.750445453,0.667221788,1.550497004,1,3.033717432
955,5,B,2,63,0.566933162,0.650813262,0.650493136,1.316782573,0.950530872,2.699853318,1,6.21719696
956,5,B,1,26,0.533752563,0.567059081,0.567161316,1.117208328,0.800445097,1.717147619,1,2.933538935
957,5,B,2,62,1.033784141,0.567244209,1.900073341,0.683918073,0.80052957,1.933957743,1,4.601064271
958,5,B,1,32,0.667207578,0.583694182,0.700430808,1.03377072,0.983864232,1.517149434,1,2.683792944
959,5,B,3,60,0.417177381,0.483452134,0.467205052,0.433810114,0.41712883,0.467107159,1,1.000575516
144,6,A,3,63,0.583745892,0.550412137,0.450554556,0.466916504,0.467125711,0.55020451,1,2.833970296
145,6,A,3,14,0.517132066,0.500148024,0.400508333,0.483701603,0.400604647,1.050585819,1,1.200570937
146,6,A,1,34,0.484029229,0.417365273,0.600476123,0.500472492,0.600587832,1.267118843,1,5.117303063
147,6,A,3,35,0.417170671,0.567066581,0.417077909,0.433468673,0.433973927,0.450803236,1,0.950395085
148,6,A,1,48,0.584142595,0.500425519,0.600538885,1.017111935,0.583870626,1.000603937,1,3.000401835
149,6,A,2,17,0.517141935,0.416725416,0.53369059,0.983926994,0.400535175,0.583713524,1,6.750377164
150,6,A,3,65,0.683809128,0.400547017,0.417201855,0.400445571,0.383878758,0.383830206,1,1.500469334
151,6,A,3,33,0.500476044,0.533794009,0.467170316,0.517141145,0.46727334,0.500490649,1,3.167213499
152,6,A,3,15,0.450465742,0.450374954,0.467213736,0.416771204,0.400548201,0.517073646,1,1.150622607
153,6,A,2,25,0.516772073,0.417199486,0.417168303,0.433855903,0.517250485,1.067055923,1,1.600162313
154,6,A,2,33,0.867217999,0.500596437,0.500414466,0.46719992,1.650630107,0.783914205,1,2.433533803
155,6,A,1,54,0.616873202,0.433812483,0.417053041,0.433484068,0.450564424,0.584298514,1,3.967262682
156,6,A,3,28,0.500440124,0.434009848,0.417221591,0.400418729,0.450541135,0.383761128,1,1.417499086
